$$ PartName=Step4_2_module_offsets
$$ Author=
$$ MeasurementDate=2023-11-20T14:55:54
$$ Description=
$$ ExportBy=ZONE3
Feat. Type,Feat. Name,Value,Actual,Nominal,Dev.,Tol-,Tol+,Out of Tol.,Comment,
,,FNAL3-2,FNAL3-2,,,,,,,
,,simurthy,simurthy,,,,,,,
,,LD,LD,,,,,,,
,,Full,Full,,,,,,,
,,200,200,,,,,,,
Point,ModuleThickness20,ANG,69.40948,68.83866,0.57082,0.00000,0.00000,,,
Point,ModuleThickness20,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness20,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness21,X,153.41202,160.71192,-7.29990,0.00000,0.00000,,,
Point,ModuleThickness21,Y,320.84508,298.52199,22.32309,0.00000,0.00000,,,
Point,ModuleThickness21,Z,3.48174,1.68406,1.79768,0.00000,0.00000,,,
Point,ModuleThickness21,R,355.63579,339.03348,16.60231,0.00000,0.00000,,,
Point,ModuleThickness21,ANG,64.44521,61.70381,2.74140,0.00000,0.00000,,,
Point,ModuleThickness21,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness21,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness22,X,178.73369,176.15120,2.58249,0.00000,0.00000,,,
Point,ModuleThickness22,Y,288.66382,262.43944,26.22438,0.00000,0.00000,,,
Point,ModuleThickness22,Z,3.24424,1.73904,1.50520,0.00000,0.00000,,,
Point,ModuleThickness22,R,339.51809,316.07547,23.44262,0.00000,0.00000,,,
Point,ModuleThickness22,ANG,58.23521,56.13021,2.10500,0.00000,0.00000,,,
Point,ModuleThickness22,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness22,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness23,X,151.43432,156.07799,-4.64367,0.00000,0.00000,,,
Point,ModuleThickness23,Y,252.15386,226.30688,25.84699,0.00000,0.00000,,,
Point,ModuleThickness23,Z,3.16468,1.75899,1.40569,0.00000,0.00000,,,
Point,ModuleThickness23,R,294.13249,274.90934,19.22316,0.00000,0.00000,,,
Point,ModuleThickness23,ANG,59.01252,55.40698,3.60555,0.00000,0.00000,,,
Point,ModuleThickness23,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness23,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness24,X,116.78019,115.23297,1.54722,0.00000,0.00000,,,
Point,ModuleThickness24,Y,252.02045,230.39278,21.62767,0.00000,0.00000,,,
Point,ModuleThickness24,Z,3.12785,1.71409,1.41375,0.00000,0.00000,,,
Point,ModuleThickness24,R,277.76234,257.60332,20.15902,0.00000,0.00000,,,
Point,ModuleThickness24,ANG,65.13813,63.42767,1.71046,0.00000,0.00000,,,
Point,ModuleThickness24,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness24,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness25,X,140.85595,138.26714,2.58881,0.00000,0.00000,,,
Point,ModuleThickness25,Y,293.45225,265.34561,28.10663,0.00000,0.00000,,,
Point,ModuleThickness25,Z,3.15008,1.74263,1.40745,0.00000,0.00000,,,
Point,ModuleThickness25,R,325.50672,299.20912,26.29759,0.00000,0.00000,,,
Point,ModuleThickness25,ANG,64.35917,62.47674,1.88244,0.00000,0.00000,,,
Point,ModuleThickness25,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness25,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Plane,ModuleThickness,X,139.04455,136.46188,2.58267,0.00000,0.00000,,,
Plane,ModuleThickness,Y,288.35554,262.06782,26.28772,0.00000,0.00000,,,
Plane,ModuleThickness,Z,3.42998,1.64304,1.78694,0.00000,0.00000,,,
Plane,ModuleThickness,R,320.12857,295.46808,24.66049,0.00000,0.00000,,,
Plane,ModuleThickness,ANG,64.25671,62.49346,1.76325,0.00000,0.00000,,,
Plane,ModuleThickness,UNI,0.65466,0.00000,0.65466,0.00000,0.00000,,,
Plane,ModuleThickness,           ,-0.00221,-0.00046,0.00175,0.00000,0.00000,,,
Plane,ModuleThickness,           ,-0.00550,0.00060,-0.00610,0.00000,0.00000,,,
Plane,ModuleThickness,           ,0.99998,1.00000,-0.00002,0.00000,0.00000,,,
Plane,ModuleThickness,ANG,248.13114,127.47189,120.65925,0.00000,0.00000,,,
Plane,ModuleThickness,ANG,90.31510,89.96561,0.34949,0.00000,0.00000,,,
Plane,ModuleThickness,ANG,359.87353,359.97364,-0.10011,0.00000,0.00000,,,
Profile,{_ModuleFlatness}_,           ,25.00000,0.00000,25.00000,0.00000,0.00000,,,
Profile,{_ModuleFlatness}_,N.D.,0.64681,0.00000,0.64681,0.00000,1.50000,0.00000,,
Profile,{_ModuleFlatness}_,,,,,,,,,
Profile,{_ModuleFlatness}_,           ,-0.32341,0.00000,-0.32341,0.00000,0.00000,,,
Profile,{_ModuleFlatness}_,           ,0.32341,0.00000,0.32341,0.00000,0.00000,,,
Profile,{_ModuleFlatness}_,           ,0.00000,0.00000,0.00000,0.00000,0.00000,,,
End!
